Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,-0.0010257,0.085132,-0.034646,0,0,0,3.9846,0.01157,-3.7629E-06,-3.6112E-05,0.01788,0.00019188,0.0098975,0,0,0,0,0,0,package://12URDF/meshes/pelvis.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://12URDF/meshes/pelvis.STL,,골반옛시-1/덮개 만드는중-2;골반옛시-1/젯슨-1/젯슨-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/155-0899-000.stp-4;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/155-0899-000.stp-3;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/155-0576-000.stp-2;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/155-0576-000.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/155-0899-000.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/155-0901-000.stp-2;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3526_WIFI_ANT_MODULE_ASM.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/330-0266-000_M2_WIFI_MODULE_ASM.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/NVME-M-2_ASM.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/155-0899-000.stp-2;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/155-0901-000.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3526_WIFI_ANT_LEFT_ASM.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/LEAFSPRING-P3767-CG.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/155-GROGU-000.stp-3;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/095-0180-000-TS1_ASM.stp-1/M1_6_0_35PITX4MM_MACHINE.stp-2;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/095-0180-000-TS1_ASM.stp-1/3514_ASM_1112_ASM.stp-1/WIRE_FAN_P3518.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/095-0180-000-TS1_ASM.stp-1/3514_ASM_1112_ASM.stp-1/3514_ASM_2_ASM.stp-1/3514-IMPELLER-J441-346-2_6.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/095-0180-000-TS1_ASM.stp-1/3514_ASM_1112_ASM.stp-1/3514_ASM_2_ASM.stp-1/3514_18.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/095-0180-000-TS1_ASM.stp-1/M1_6_0_35PITX4MM_MACHINE.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/095-0180-000-TS1_ASM.stp-1/095-0180-000-TS1.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/095-0180-000-TS1_ASM.stp-1/M1_6_0_35PITX4MM_MACHINE.stp-3;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/155-GROGU-000.stp-2;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/155-GROGU-000.stp-4;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/155-GROGU-000.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/P3767_ASM.stp-1/P3767-GROGU_ASM.stp-1;골반옛시-1/젯슨-1/P3766-P3768SKU4-P3767ENVELOPE-1/P3766-P3768SKU4-P3767ENVELOPE.stp-1/600-13768-0000-A04_ASM.stp-1;골반옛시-1/골반 어셈 무게 추가-1/deep groove ball bearing (series 68)_ks-1;골반옛시-1/골반 어셈 무게 추가-1/CUTE BOARD-1;골반옛시-1/골반 어셈 무게 추가-1/deep groove ball bearing (series 68)_ks-2;골반옛시-1/골반 어셈 무게 추가-1/CUTE BOARD-2;골반옛시-1/골반 어셈 무게 추가-1/배터리 바구니-1;골반옛시-1/골반 어셈 무게 추가-1/배터리-1;골반옛시-1/골반 어셈 무게 추가-1/아틀라스골반 수정완 무게추가-1;골반옛시-1/Main_power-1/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-7;골반옛시-1/Main_power-1/Main_power.step-1/Main_power_PCB.step-1;골반옛시-1/Main_power-1/Main_power.step-1/CP_Radial_D12.5mm_P5.00mm.step-1;골반옛시-1/Main_power-1/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-8;골반옛시-1/Main_power-1/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-6;골반옛시-1/Main_power-1/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-4;골반옛시-1/Main_power-1/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-2;골반옛시-1/Main_power-1/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-5;골반옛시-1/Main_power-1/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-3;골반옛시-1/Main_power-1/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-1;골반옛시-1/빵판-1;골반옛시-1/Intel Realsense D455-1;imu-1,pelvis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_f_Link,0.004942,9.0766E-05,0.0019878,0,0,0,0.39358,0.00029298,-7.4921E-07,-5.0071E-07,0.00021604,2.5338E-07,0.00022944,0,0,0,0,0,0,package://12URDF/meshes/right_hip_f_Link.STL,0.82353,0.82353,0.82353,1,0,0,0,0,0,0,package://12URDF/meshes/right_hip_f_Link.STL,,"골반옛시-1/골반 어셈 무게 추가-1/AK70-10 KV100 모터-1;힙양끼우기 어셈 무게-1/힙양끼우기1 무게추가-1/힙양끼우기1,2,2-1;힙양끼우기 어셈 무게-1/힙양끼우기 무게추가-1/힙양끼우기2 나머지절반-1;힙양끼우기 어셈 무게-1/힙양끼우기1 무게추가-1/힙양끼우기1,2,1-1;힙양끼우기 어셈 무게-1/힙양끼우기 무게추가-1/힙양끼우기2 절반-1",right_hip_f_joint_origin,right_hip_f_joint,right_hip_f_joint,revolute,-0.071,0,0,0,0,0,pelvis,1,0,0,0,0,0,0,,,,,,,,
right_hip_a_Link,-5.4792E-06,-0.012105,-0.022701,0,0,0,0.55181,0.00057399,9.4644E-08,1.9333E-08,0.00043416,-3.8142E-05,0.0007693,0,0,0,0,0,0,package://12URDF/meshes/right_hip_a_Link.STL,1,0.94902,0.9098,1,0,0,0,0,0,0,package://12URDF/meshes/right_hip_a_Link.STL,,힙-R프로파일-1/deep groove ball bearing (series 68)_ks-1;힙-R프로파일-1/FA 수정완-1;힙-R프로파일-1/AK70-10 KV100 모터-1;힙-R프로파일-1/힙베어링축 무게추가-1;힙-R프로파일-1/NEW PCB 고정판-2;힙-R프로파일-1/CUTE BOARD-1/CUTE BOARD.step-1/CUTE BOARD_PCB.step-1;힙-R프로파일-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-2;힙-R프로파일-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-1,right_hip_a_joint_origin,right_hip_a_joint,right_hip_a_joint,revolute,-0.0725,0,0.019625,0,0,0,right_hip_f_Link,0,0,-1,0,0,0,0,,,,,,,,
right_hip_r_Link,0.001998,-0.019712,0.00053316,0,0,0,0.67544,0.00065584,1.1267E-05,-2.0074E-06,0.00073488,-1.7097E-06,0.00058516,0,0,0,0,0,0,package://12URDF/meshes/right_hip_r_Link.STL,0.82353,0.82353,0.82353,1,0,0,0,0,0,0,package://12URDF/meshes/right_hip_r_Link.STL,,힙-R프로파일-1/AK70-10 KV100 모터-2;힙-R프로파일-1/R 모터 프로파일1-1;R-무릎 무게추가-1/프로파일 20x20 80mm 무게추가-2;R-무릎 무게추가-1/deep groove ball bearing (series 68)_ks-1;R-무릎 무게추가-1/single direction thrust ball bearing_ks-1;R-무릎 무게추가-1/무릎 프로파일 (1)-1;R-무릎 무게추가-1/붸어링2-1;R-무릎 무게추가-1/R베어링무게추가-1,right_hip_r_joint_origin,right_hip_r_joint,right_hip_r_joint,revolute,0,-0.12405,-0.02,0,0,0,right_hip_a_Link,0,1,0,0,0,0,0,,,,,,,,
right_knee_Link,-0.025103,-0.054039,0.0002832,0,0,0,0.6077,0.00058774,-1.7004E-08,-1.7442E-07,0.00031697,9.6663E-08,0.00050521,0,0,0,0,0,0,package://12URDF/meshes/right_knee_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://12URDF/meshes/right_knee_Link.STL,,무릎프로파일 어셈 무게 적용-2/무릎 지지 프로파일1-2;무릎프로파일 어셈 무게 적용-2/무릎 지지 프로파일2-2;R-무릎 무게추가-1/무릎베어링축 무게추가-1;R-무릎 무게추가-1/NEW PCB 고정판-1;R-무릎 무게추가-1/CUTE BOARD-1/CUTE BOARD.step-1/CUTE BOARD_PCB.step-1;R-무릎 무게추가-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-1;R-무릎 무게추가-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-2;R-무릎 무게추가-1/deep groove ball bearing (series 68)_ks-2;R-무릎 무게추가-1/deep groove ball bearing (series 68)_ks-3;R-무릎 무게추가-1/AK70-10 KV100 모터-1;무릎프로파일 어셈 무게 적용-2/프로파일 20x20 120mm 무게추가-1;무릎프로파일 어셈 무게 적용-2/무릎 지지 프로파일1-1;무릎프로파일 어셈 무게 적용-2/무릎 지지 프로파일2-1,right_knee_joint_origin,right_knee_joint,right_knee_joint,revolute,0.01985,-0.15827,-0.00035,0,0,0,right_hip_r_Link,1,0,0,0,0,0,0,,,,,,,,
right_ankle_f_Link,-0.023337,-0.0037975,0.00037445,0,0,0,0.48131,0.00060642,-1.7566E-05,-2.801E-07,0.00036429,-4.4903E-08,0.00045794,0,0,0,0,0,0,package://12URDF/meshes/right_ankle_f_Link.STL,0.78039,0.78039,0.78039,1,0,0,0,0,0,0,package://12URDF/meshes/right_ankle_f_Link.STL,,발목 p 어셈 무게추가R-1/발목 연결 프로파일-1;발목 p 어셈 무게추가R-1/힙베어링축 무게추가-1;발목 p 어셈 무게추가R-1/deep groove ball bearing (series 68)_ks-3;발목 p 어셈 무게추가R-1/CUTE BOARD-1/CUTE BOARD.step-1/CUTE BOARD_PCB.step-1;발목 p 어셈 무게추가R-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-1;발목 p 어셈 무게추가R-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-2;발목 p 어셈 무게추가R-1/AK70-10 KV100 모터-1;발목 p 어셈 무게추가R-1/deep groove ball bearing (series 68)_ks-2;발목 p 어셈 무게추가R-1/NEW PCB 고정판-1,right_ankle_f_joint_origin,right_ankle_f joint,right_ankle_f_joint,revolute,0,-0.236,0,0,0,0,right_knee_Link,1,0,0,0,0,0,0,,,,,,,,
right_ankle_r_Link,-0.00045161,-0.026032,0.0097212,0,0,0,0.54241,0.0010172,1.5518E-06,2.1639E-07,0.0012161,-4.0478E-05,0.00043185,0,0,0,0,0,0,package://12URDF/meshes/right_ankle_r_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://12URDF/meshes/right_ankle_r_Link.STL,,ra30p 부착물-1;ra30p 부착물-3;ra30p 부착물-2;발목 p 어셈 무게추가R-1/deep groove ball bearing (series 68)_ks-7;발목 p 어셈 무게추가R-1/발목-1;발목 p 어셈 무게추가R-1/AK45-36-KV80-1;발목 p 어셈 무게추가R-1/deep groove ball bearing (series 68)_ks-4;발바닥+발판 어셈-1/RA30P 무게 추가-2;발바닥+발판 어셈-1/RA30P 무게 추가-4;발바닥+발판 어셈-1/RA30P 무게 추가-3;발바닥+발판 어셈-1/발뒷판-1;발바닥+발판 어셈-1/NEW PCB 고정판-1;발바닥+발판 어셈-1/발목 발판 무게추가-1;발바닥+발판 어셈-1/바르바닥 무게추가-1;발바닥+발판 어셈-1/CUTE BOARD-1/CUTE BOARD.step-1/CUTE BOARD_PCB.step-1;발바닥+발판 어셈-1/RA30P 무게 추가-1;ra30p 부착물-4;발바닥+발판 어셈-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-2;발바닥+발판 어셈-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-1,right_ankle_r_joint_origin,right_ankle_r_joint,right_ankle_r_joint,revolute,-0.01955,-0.08245,-0.0115,0,0,0,right_ankle_f_Link,0,0,-1,0,0,0,0,,,,,,,,
left_hip_f_Link,-0.004942,8.1981E-05,0.002009,0,0,0,0.39358,0.00029298,6.7668E-07,6.7578E-07,0.00021588,4.2161E-07,0.00022961,0,0,0,0,0,0,package://12URDF/meshes/left_hip_f_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://12URDF/meshes/left_hip_f_Link.STL,,"힙양끼우기 어셈 무게-2/힙양끼우기1 무게추가-1/힙양끼우기1,2,1-1;힙양끼우기 어셈 무게-2/힙양끼우기1 무게추가-1/힙양끼우기1,2,2-1;힙양끼우기 어셈 무게-2/힙양끼우기 무게추가-1/힙양끼우기2 나머지절반-1;힙양끼우기 어셈 무게-2/힙양끼우기 무게추가-1/힙양끼우기2 절반-1;골반옛시-1/골반 어셈 무게 추가-1/AK70-10 KV100 모터-2",left_hip_f_joint_origin,left_hip_f_joint,left_hip_f_joint,revolute,0.071,0,0,0,0,0,pelvis,1,0,0,0,0,0,0,,,,,,,,
left_hip_a_Link,-5.4211E-06,-0.011977,-0.023082,0,0,0,0.55773,0.00057601,9.4644E-08,1.9333E-08,0.00043618,-3.8142E-05,0.0007733,0,0,0,0,0,0,package://12URDF/meshes/left_hip_a_Link.STL,0.3098,0.48235,0.40784,1,0,0,0,0,0,0,package://12URDF/meshes/left_hip_a_Link.STL,,힙-R프로파일-2/CUTE BOARD-1/CUTE BOARD.step-1/CUTE BOARD_PCB.step-1;힙-R프로파일-2/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-2;힙-R프로파일-2/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-1;힙-R프로파일-2/NEW PCB 고정판-2;힙-R프로파일-2/힙베어링축 무게추가-1;힙-R프로파일-2/deep groove ball bearing (series 68)_ks-2;힙-R프로파일-2/AK70-10 KV100 모터-1;힙-R프로파일-2/FA 수정완-1;힙-R프로파일-2/deep groove ball bearing (series 68)_ks-1,left_hip_a_joint_origin,left_hip_a_joint,left_hip_a_joint,revolute,0.0725,0,0.019625,0,0,0,left_hip_f_Link,0,0,-1,0,0,0,0,,,,,,,,
left_hip_r_Link,-0.0021493,-0.019712,0.00068224,0,0,0,0.67544,0.00065584,-1.0844E-05,-2.0074E-06,0.00073488,-1.7098E-06,0.00058516,0,0,0,0,0,0,package://12URDF/meshes/left_hip_r_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://12URDF/meshes/left_hip_r_Link.STL,,R-무릎 무게추가-2/프로파일 20x20 80mm 무게추가-2;R-무릎 무게추가-2/deep groove ball bearing (series 68)_ks-1;R-무릎 무게추가-2/single direction thrust ball bearing_ks-1;R-무릎 무게추가-2/무릎 프로파일 (1)-1;R-무릎 무게추가-2/붸어링2-1;R-무릎 무게추가-2/R베어링무게추가-1;힙-R프로파일-2/AK70-10 KV100 모터-2;힙-R프로파일-2/R 모터 프로파일1-1,left_hip_r_joint_origin,left_hip_r_joint,left_hip_r_Link,revolute,0,-0.12405,-0.02,0,0,0,left_hip_a_Link,0,1,0,0,0,0,0,,,,,,,,
