Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,-0.000756889252823814,0.105436501070058,-0.0461913513658618,0,0,0,3.54036668275575,0.0109758114940452,9.77557123452453E-08,5.10552568041426E-08,0.0115818519229548,0.000332721211086309,0.0168953127791752,0,0,0,0,0,0,package://newURDF12DOF/meshes/pelvis.STL,0.956862745098039,0.898039215686275,0.654901960784314,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/pelvis.STL,,골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-6;골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-5;골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-7;골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/Main_power_PCB.step-1;골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-8;골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-3;골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-2;골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-1;골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/AMASS_XT60-M_1x02_P7.2mm_Vertical.step-4;골반 어셈 무게 추가-1/Main_power-2/Main_power.step-1/CP_Radial_D12.5mm_P5.00mm.step-1;골반 어셈 무게 추가-1/CUTE BOARD-1;골반 어셈 무게 추가-1/NEW PCB 고정판-1;골반 어셈 무게 추가-1/deep groove ball bearing (series 68)_ks-2;골반 어셈 무게 추가-1/CUTE BOARD-2;골반 어셈 무게 추가-1/deep groove ball bearing (series 68)_ks-1;골반 어셈 무게 추가-1/배터리 덮개-2;골반 어셈 무게 추가-1/NEW PCB 고정판-2;골반 어셈 무게 추가-1/젯슨-1;골반 어셈 무게 추가-1/배터리-1;골반 어셈 무게 추가-1/아틀라스골반 수정완 무게추가-1,pelvis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_f_joint,-0.00494197182731525,8.19810799082745E-05,0.00200897073804174,0,0,0,0.393578984491956,0.000292984347884872,6.76681598712522E-07,6.75784794911888E-07,0.000215875120466875,4.21606085735458E-07,0.000229606229991153,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_hip_f_joint.STL,0.823529411764706,0.823529411764706,0.823529411764706,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_hip_f_joint.STL,,"골반 어셈 무게 추가-1/AK70-10 KV100 모터-2;힙양끼우기 어셈 무게-2/힙양끼우기1 무게추가-1/힙양끼우기1,2,1-1;힙양끼우기 어셈 무게-2/힙양끼우기1 무게추가-1/힙양끼우기1,2,2-1;힙양끼우기 어셈 무게-2/힙양끼우기 무게추가-1/힙양끼우기2 절반-1;힙양끼우기 어셈 무게-2/힙양끼우기 무게추가-1/힙양끼우기2 나머지절반-1",left_hip_f_joint_origin,left_hip_f_joint,left_hip_f_joint,continuous,0.071,0,0,0,0,0,pelvis,-1,0,0,0,0,0,0,,,,,,,,
left_hip_a_joint,-7.8446125441653E-05,-0.0194416557973496,-0.0225401616100878,0,0,0,0.632623778007109,0.000630842650543882,2.11585738664554E-07,-1.86904962803603E-06,0.000550787357534651,-3.90783059385623E-05,0.000844724822630449,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_hip_a_joint.STL,0.309803921568627,0.482352941176471,0.407843137254902,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_hip_a_joint.STL,,힙-R프로파일-2/CUTE BOARD-1/CUTE BOARD.step-1/CUTE BOARD_PCB.step-1;힙-R프로파일-2/NEW PCB 고정판-1;힙-R프로파일-2/힙베어링축 무게추가-1;힙-R프로파일-2/AK70-10 KV100 모터-1;힙-R프로파일-2/deep groove ball bearing (series 68)_ks-2;힙-R프로파일-2/FA 수정완-1;힙-R프로파일-2/deep groove ball bearing (series 68)_ks-1;힙-R프로파일-2/R 모터 프로파일1-1;힙-R프로파일-2/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-2;힙-R프로파일-2/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-1,left_hip_a_joint_origin,left_hip_a_joint,left_hip_a_joint,continuous,0.0725,0,0.019625,0,0,0,left_hip_f_joint,0,0,-1,0,0,0,0,,,,,,,,
left_hip_r_joint,-0.00249240797024916,-0.0278688083398012,0.000149865708657604,0,0,0,0.581468457020583,0.000592251166491356,-1.09607145232989E-05,-1.19053885376211E-07,0.000603571125269097,-7.71719284741145E-07,0.000506692603007597,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_hip_r_joint.STL,0.823529411764706,0.823529411764706,0.823529411764706,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_hip_r_joint.STL,,힙-R프로파일-2/AK70-10 KV100 모터-2;R-무릎 무게추가-2/붸어링2-1;R-무릎 무게추가-2/R베어링무게추가-1;R-무릎 무게추가-2/프로파일 20x20 80mm 무게추가-2;R-무릎 무게추가-2/무릎 프로파일 (1)-1,left_hip_r_joint_origin,left_hip_r_joint,left_hip_r_joint,continuous,0,-0.12405,-0.02,0,0,0,left_hip_a_joint,0,1,0,0,0,0,0,,,,,,,,
left_knee_joint,0.0246801333933455,-0.0545496012765575,-0.000304477796019498,0,0,0,0.602009778953134,0.000585936701332531,1.70048362523097E-08,-1.74195842929843E-07,0.00031640180626295,-9.62957528030028E-08,0.000503966832089585,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_knee_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_knee_joint.STL,,R-무릎 무게추가-2/무릎베어링축 무게추가-1;R-무릎 무게추가-2/deep groove ball bearing (series 68)_ks-2;무릎프로파일 어셈 무게 적용-1/무릎 지지 프로파일2-2;R-무릎 무게추가-2/AK70-10 KV100 모터-1;무릎프로파일 어셈 무게 적용-1/무릎 지지 프로파일1-2;R-무릎 무게추가-2/deep groove ball bearing (series 68)_ks-3;무릎프로파일 어셈 무게 적용-1/프로파일 20x20 120mm 무게추가-1;무릎프로파일 어셈 무게 적용-1/무릎 지지 프로파일1-1;무릎프로파일 어셈 무게 적용-1/무릎 지지 프로파일2-1,left_knee_joint_origin,left_knee_joint,left_knee_joint,continuous,-0.02015,-0.15828,0.00035,0,0,0,left_hip_r_joint,-1,0,0,0,0,0,0,,,,,,,,
left_ankle_f_joint,0.0237672498461645,-0.00377237259696195,0.000419837427473757,0,0,0,0.486119247655161,0.000608809712821453,1.75284930873659E-05,2.354582179518E-07,0.000364967606516678,4.48617679862131E-08,0.000459663127053177,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_ankle_f_joint.STL,0.309803921568627,0.482352941176471,0.407843137254902,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_ankle_f_joint.STL,,발목 p 어셈 무게추가L-2/CUTE BOARD-1/CUTE BOARD.step-1/CUTE BOARD_PCB.step-1;발목 p 어셈 무게추가L-2/NEW PCB 고정판-1;발목 p 어셈 무게추가L-2/힙베어링축 무게추가-1;발목 p 어셈 무게추가L-2/발목 연결 프로파일-1;발목 p 어셈 무게추가L-2/AK70-10 KV100 모터-1;발목 p 어셈 무게추가L-2/deep groove ball bearing (series 68)_ks-3;발목 p 어셈 무게추가L-2/deep groove ball bearing (series 68)_ks-2;발목 p 어셈 무게추가L-2/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-1;발목 p 어셈 무게추가L-2/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-2,left_ankle_f_joint_origin,left_ankle_f joint,left_ankle_f_joint,continuous,0,-0.236,0,0,0,0,left_knee_joint,-1,0,0,0,0,0,0,,,,,,,,
left_ankle_r_joint,4.24748167970057E-05,-0.0247306597877304,0.0106638710800149,0,0,0,0.50489357707771,0.00103679249806854,-2.00169093951614E-08,8.49523384882695E-07,0.00117235018451729,-4.70031088846862E-05,0.000363507093104118,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_ankle_r_joint.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/left_ankle_r_joint.STL,,발목 p 어셈 무게추가L-2/deep groove ball bearing (series 68)_ks-7;발목 p 어셈 무게추가L-2/deep groove ball bearing (series 68)_ks-4;발목 p 어셈 무게추가L-2/발목-1;발목 p 어셈 무게추가L-2/AK45-36-KV80-1;발바닥+발판 어셈-3/발뒷판-1;발바닥+발판 어셈-3/NEW PCB 고정판-1;발바닥+발판 어셈-3/바르바닥 무게추가-1;발바닥+발판 어셈-3/발목 발판 무게추가-1;발바닥+발판 어셈-3/CUTE BOARD-1/CUTE BOARD.step-1/CUTE BOARD_PCB.step-1;발바닥+발판 어셈-3/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-1;발바닥+발판 어셈-3/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-2,left_ankle_r_joint_origin,left_ankle_r_joint,left_ankle_r_joint,continuous,0.02,-0.08245,-0.0105,0,0,0,left_ankle_f_joint,0,0,1,0,0,0,0,,,,,,,,
right_hip_f_joint,0.00494197182731511,9.07661399624175E-05,0.00198776004650214,0,0,0,0.393578984491956,0.000292984347884872,-7.49212103520382E-07,-5.00707062789026E-07,0.000216043413801198,2.53381610807286E-07,0.00022943793665683,0,0,0,0,0,0,package://newURDF12DOF/meshes/right_hip_f_joint.STL,0.823529411764706,0.823529411764706,0.823529411764706,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/right_hip_f_joint.STL,,"골반 어셈 무게 추가-1/AK70-10 KV100 모터-1;힙양끼우기 어셈 무게-1/힙양끼우기1 무게추가-1/힙양끼우기1,2,1-1;힙양끼우기 어셈 무게-1/힙양끼우기1 무게추가-1/힙양끼우기1,2,2-1;힙양끼우기 어셈 무게-1/힙양끼우기 무게추가-1/힙양끼우기2 나머지절반-1;힙양끼우기 어셈 무게-1/힙양끼우기 무게추가-1/힙양끼우기2 절반-1",right_hip_f_joint_origin,right_hip_f_joint,right_hip_f_joint,continuous,-0.071,0,0,0,0,0,pelvis,1,0,0,0,0,0,0,,,,,,,,
right_hip_a_joint,-7.84461254416391E-05,-0.0194416557973496,-0.022540161610088,0,0,0,0.632623778007108,0.00063084265054388,2.11585738664523E-07,-1.86904962803604E-06,0.000550787357534649,-3.90783059385622E-05,0.000844724822630448,0,0,0,0,0,0,package://newURDF12DOF/meshes/right_hip_a_joint.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/right_hip_a_joint.STL,,힙-R프로파일-1/deep groove ball bearing (series 68)_ks-1;힙-R프로파일-1/FA 수정완-1;힙-R프로파일-1/AK70-10 KV100 모터-1;힙-R프로파일-1/deep groove ball bearing (series 68)_ks-2;힙-R프로파일-1/힙베어링축 무게추가-1;힙-R프로파일-1/NEW PCB 고정판-1;힙-R프로파일-1/CUTE BOARD-1/CUTE BOARD.step-1/CUTE BOARD_PCB.step-1;힙-R프로파일-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-2;힙-R프로파일-1/CUTE BOARD-1/CUTE BOARD.step-1/JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical.step-1;힙-R프로파일-1/R 모터 프로파일1-1,right_hip_a_joint_origin,right_hip_a_joint,right_hip_a_joint,continuous,-0.0725,0,0.019625,0,0,0,right_hip_f_joint,0,0,-1,0,0,0,0,,,,,,,,
right_hip_r_joint,0.00247686817749082,-0.0278688083398015,-2.33042530295435E-05,0,0,0,0.581468457020582,0.000592251166491356,1.11502172949934E-05,-1.19053885376146E-07,0.000603571125269096,-7.71656937001977E-07,0.000506692603007596,0,0,0,0,0,0,package://newURDF12DOF/meshes/right_hip_r_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://newURDF12DOF/meshes/right_hip_r_joint.STL,,R-무릎 무게추가-1/붸어링2-1;힙-R프로파일-1/AK70-10 KV100 모터-2;R-무릎 무게추가-1/R베어링무게추가-1;R-무릎 무게추가-1/프로파일 20x20 80mm 무게추가-2;R-무릎 무게추가-1/무릎 프로파일 (1)-1,right_hip_r_joint_origin,right_hip_r_joint,right_hip_r_joint,continuous,0,-0.12405,-0.02,0,0,0,right_hip_a_joint,0,1,0,,,,,,,,,,,,
