[sweep] 모터 [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] 0토크 폴링 시작 (Ctrl+C로 종료·저장)
  miss={1: 8, 2: 8, 3: 8, 4: 8, 5: 8, 6: 8, 7: 8, 8: 8, 9: 8, 10: 8, 11: 8, 12: 8}
  miss={1: 16, 2: 16, 3: 16, 4: 16, 5: 16, 6: 16, 7: 16, 8: 16, 9: 16, 10: 16, 11: 16, 12: 16}
  miss={1: 113, 2: 113, 3: 113, 4: 113, 5: 113, 6: 113, 7: 113, 8: 113, 9: 113, 10: 113, 11: 113, 12: 113}
  miss={1: 297, 2: 297, 3: 297, 4: 297, 5: 297, 6: 297, 7: 297, 8: 297, 9: 297, 10: 297, 11: 297, 12: 297}
  miss={1: 483, 2: 483, 3: 483, 4: 483, 5: 483, 6: 483, 7: 483, 8: 483, 9: 483, 10: 483, 11: 483, 12: 483}
  miss={1: 669, 2: 669, 3: 669, 4: 669, 5: 669, 6: 669, 7: 669, 8: 669, 9: 669, 10: 669, 11: 669, 12: 669}
  miss={1: 854, 2: 854, 3: 854, 4: 854, 5: 854, 6: 854, 7: 854, 8: 854, 9: 854, 10: 854, 11: 854, 12: 854}
  miss={1: 1040, 2: 1040, 3: 1040, 4: 1040, 5: 1040, 6: 1040, 7: 1040, 8: 1040, 9: 1040, 10: 1040, 11: 1040, 12: 1040}
  miss={1: 1225, 2: 1225, 3: 1225, 4: 1225, 5: 1225, 6: 1225, 7: 1225, 8: 1225, 9: 1225, 10: 1225, 11: 1225, 12: 1225}
  miss={1: 1410, 2: 1410, 3: 1410, 4: 1410, 5: 1410, 6: 1410, 7: 1410, 8: 1410, 9: 1410, 10: 1410, 11: 1410, 12: 1410}
  miss={1: 1595, 2: 1595, 3: 1595, 4: 1595, 5: 1595, 6: 1595, 7: 1595, 8: 1595, 9: 1595, 10: 1595, 11: 1595, 12: 1595}
  miss={1: 1780, 2: 1780, 3: 1780, 4: 1780, 5: 1780, 6: 1780, 7: 1780, 8: 1780, 9: 1780, 10: 1780, 11: 1780, 12: 1780}
  miss={1: 1965, 2: 1965, 3: 1965, 4: 1965, 5: 1965, 6: 1965, 7: 1965, 8: 1965, 9: 1965, 10: 1965, 11: 1965, 12: 1965}
  miss={1: 2151, 2: 2151, 3: 2151, 4: 2151, 5: 2151, 6: 2151, 7: 2151, 8: 2151, 9: 2151, 10: 2151, 11: 2151, 12: 2151}
  miss={1: 2336, 2: 2336, 3: 2336, 4: 2336, 5: 2336, 6: 2336, 7: 2336, 8: 2336, 9: 2336, 10: 2336, 11: 2336, 12: 2336}
  miss={1: 2521, 2: 2521, 3: 2521, 4: 2521, 5: 2521, 6: 2521, 7: 2521, 8: 2521, 9: 2521, 10: 2521, 11: 2521, 12: 2521}
  miss={1: 2706, 2: 2706, 3: 2706, 4: 2706, 5: 2706, 6: 2706, 7: 2706, 8: 2706, 9: 2706, 10: 2706, 11: 2706, 12: 2706}
  miss={1: 2891, 2: 2891, 3: 2891, 4: 2891, 5: 2891, 6: 2891, 7: 2891, 8: 2891, 9: 2891, 10: 2891, 11: 2891, 12: 2891}
  miss={1: 3077, 2: 3077, 3: 3077, 4: 3077, 5: 3077, 6: 3077, 7: 3077, 8: 3077, 9: 3077, 10: 3077, 11: 3077, 12: 3077}
  miss={1: 3263, 2: 3263, 3: 3263, 4: 3263, 5: 3263, 6: 3263, 7: 3263, 8: 3263, 9: 3263, 10: 3263, 11: 3263, 12: 3263}
  miss={1: 3449, 2: 3449, 3: 3449, 4: 3449, 5: 3449, 6: 3449, 7: 3449, 8: 3449, 9: 3449, 10: 3449, 11: 3449, 12: 3449}
