--- A(구 시뮬 검증 게인): kp=250.0, kd=25.0 ---
  step |  z0   | pgx    pgy   | 발z L/R      | 접촉N L/R     | tau_max | term
     0 | 0.658 | +0.000 -0.000 | 0.059 0.059 |   0.0   0.0 |   0.0 | 
    25 | 0.646 | -0.204 -0.000 | 0.050 0.050 |   0.0  53.8 |  25.0 | 
    50 | 0.642 | -0.325 -0.003 | 0.057 0.057 |   0.0  53.8 |  21.2 | 
    72 | 0.591 | -0.612 -0.001 | 0.080 0.080 |   0.0  42.3 |  13.8 | bad_orientation 
    74 | 0.660 | +0.000 +0.000 | 0.062 0.062 |   0.0  37.9 |  12.1 | bad_orientation 
    75 | 0.658 | +0.000 -0.000 | 0.059 0.059 |   0.0   0.0 |   0.0 | 
   100 | 0.646 | -0.204 -0.000 | 0.050 0.050 |   0.0  53.9 |  25.0 | 
   125 | 0.642 | -0.325 -0.003 | 0.057 0.057 |   0.0  53.8 |  21.2 | 
   145 | 0.605 | -0.567 -0.001 | 0.077 0.076 |   0.0  45.2 |  14.9 | bad_orientation 
   150 | 0.658 | +0.000 -0.000 | 0.059 0.059 |   0.0   0.0 |   0.0 | 
   175 | 0.646 | -0.204 -0.000 | 0.050 0.050 |   0.0  53.9 |  25.0 | 
   200 | 0.642 | -0.325 -0.003 | 0.057 0.057 |   0.0  53.8 |  21.2 | 
   225 | 0.658 | +0.000 -0.000 | 0.059 0.059 |   0.0   0.0 |   0.0 | 
   250 | 0.646 | -0.204 -0.000 | 0.050 0.050 |   0.0  53.9 |  25.0 | 
   275 | 0.642 | -0.325 -0.003 | 0.057 0.057 |   0.0  53.8 |  21.2 | 
  총 종료(2env×300스텝): 8

--- B(실물 이식 게인): kp=150.0, kd=5.0 ---
  step |  z0   | pgx    pgy   | 발z L/R      | 접촉N L/R     | tau_max | term
     0 | 0.658 | +0.000 -0.000 | 0.059 0.059 |   0.0   0.0 |   0.0 | 
    25 | 0.647 | -0.205 -0.002 | 0.052 0.052 |   0.0  57.1 |   8.2 | 
    50 | 0.645 | -0.314 -0.002 | 0.061 0.061 |   0.0  56.0 |   8.0 | 
    58 | 0.641 | -0.375 -0.002 | 0.066 0.066 |   0.0  56.1 |   7.6 | bad_orientation 
    74 | 0.660 | +0.000 +0.000 | 0.062 0.062 |   0.0  40.1 |   4.9 | bad_orientation 
    75 | 0.658 | +0.000 -0.000 | 0.059 0.059 |   0.0   0.0 |   0.0 | 
   100 | 0.647 | -0.205 -0.002 | 0.052 0.052 |   0.0  57.1 |   8.2 | 
   117 | 0.647 | -0.275 -0.003 | 0.058 0.057 |   0.0  57.5 |   8.3 | bad_orientation 
   125 | 0.645 | -0.314 -0.002 | 0.061 0.061 |   0.0  56.4 |   8.0 | 
   150 | 0.658 | +0.000 -0.000 | 0.059 0.059 |   0.0   0.0 |   0.0 | 
   175 | 0.647 | -0.205 -0.002 | 0.052 0.052 |   0.0  57.1 |   8.2 | 
   200 | 0.645 | -0.314 -0.002 | 0.061 0.061 |   0.0  56.4 |   8.0 | 
   225 | 0.658 | +0.000 -0.000 | 0.059 0.059 |   0.0   0.0 |   0.0 | 
   250 | 0.647 | -0.205 -0.002 | 0.052 0.052 |   0.0  57.1 |   8.2 | 
   275 | 0.645 | -0.314 -0.002 | 0.061 0.061 |   0.0  56.4 |   8.0 | 
  총 종료(2env×300스텝): 9

