페이로드 강건성 그리드 평가 — checkpoint: /home/ryu/humanoid_leg_test1/logs/rsl_rl/biped12_stage4/2026-07-26_13-09-16/model_10995.pt
조건: 64 env × 15s, cmd_x=0.4 m/s. 로봇 자중 10.49kg (12URDF0725)
판정: 낙상env비율 <10% = PASS, 10~30% = 한계, >30% = FAIL
==========================================================================
부착위치              질량 |    낙상env |      추종오차 |     평균기울기 | 판정
기준(0kg)           0kg |   0/64 (   0%) |   0.084m/s |    4.31° | PASS
위(+z13cm)         1kg |   0/64 (   0%) |   0.081m/s |    4.55° | PASS
위(+z13cm)         2kg |   0/64 (   0%) |   0.077m/s |    4.58° | PASS
위(+z13cm)         3kg |   0/64 (   0%) |   0.074m/s |    4.74° | PASS
위(+z13cm)         5kg |   0/64 (   0%) |   0.073m/s |    4.91° | PASS
앞(+x7cm)          1kg |   0/64 (   0%) |   0.082m/s |    4.08° | PASS
앞(+x7cm)          2kg |   0/64 (   0%) |   0.081m/s |    3.94° | PASS
앞(+x7cm)          3kg |   0/64 (   0%) |   0.085m/s |    3.79° | PASS
앞(+x7cm)          5kg |   2/64 (   3%) |   0.103m/s |    3.66° | PASS
뒤(-x7cm)          1kg |   0/64 (   0%) |   0.079m/s |    4.76° | PASS
뒤(-x7cm)          2kg |   0/64 (   0%) |   0.079m/s |    5.18° | PASS
뒤(-x7cm)          3kg |   0/64 (   0%) |   0.077m/s |    5.66° | PASS
뒤(-x7cm)          5kg |   0/64 (   0%) |   0.077m/s |    6.65° | PASS
