페이로드 강건성 그리드 평가 — checkpoint: /home/ryu/humanoid_leg_test1/logs/rsl_rl/biped12_stage4/2026-07-26_01-43-04/model_4998.pt
조건: 64 env × 15s, cmd_x=0.4 m/s. 로봇 자중 10.49kg (12URDF0725)
판정: 낙상env비율 <10% = PASS, 10~30% = 한계, >30% = FAIL
==========================================================================
부착위치              질량 |    낙상env |      추종오차 |     평균기울기 | 판정
기준(0kg)           0kg |   0/64 (   0%) |   0.076m/s |    3.34° | PASS
위(+z13cm)         1kg |   0/64 (   0%) |   0.078m/s |    3.45° | PASS
위(+z13cm)         2kg |   0/64 (   0%) |   0.078m/s |    3.57° | PASS
위(+z13cm)         3kg |   0/64 (   0%) |   0.081m/s |    3.78° | PASS
위(+z13cm)         5kg |   0/64 (   0%) |   0.086m/s |    4.12° | PASS
앞(+x7cm)          1kg |   0/64 (   0%) |   0.081m/s |    3.29° | PASS
앞(+x7cm)          2kg |   0/64 (   0%) |   0.091m/s |    3.20° | PASS
앞(+x7cm)          3kg |   0/64 (   0%) |   0.105m/s |    3.23° | PASS
앞(+x7cm)          5kg |   0/64 (   0%) |   0.160m/s |    3.48° | PASS
뒤(-x7cm)          1kg |   0/64 (   0%) |   0.071m/s |    3.64° | PASS
뒤(-x7cm)          2kg |   0/64 (   0%) |   0.068m/s |    3.98° | PASS
뒤(-x7cm)          3kg |   0/64 (   0%) |   0.065m/s |    4.39° | PASS
뒤(-x7cm)          5kg |   0/64 (   0%) |   0.063m/s |    5.18° | PASS
