페이로드 강건성 그리드 평가 — checkpoint: /home/ryu/humanoid_leg_test1/logs/rsl_rl/biped12_flat/2026-07-19_05-32-42/model_8997.pt
조건: 64 env × 15s, cmd_x=0.4 m/s. 로봇 자중 9.94kg
판정: 낙상env비율 <10% = PASS, 10~30% = 한계, >30% = FAIL
==========================================================================
부착위치              질량 |    낙상env |      추종오차 |     평균기울기 | 판정
기준(0kg)           0kg |   0/64 (   0%) |   0.123m/s |    3.09° | PASS
위(+z13cm)         1kg |   0/64 (   0%) |   0.121m/s |    3.21° | PASS
위(+z13cm)         2kg |   0/64 (   0%) |   0.128m/s |    3.32° | PASS
위(+z13cm)         3kg |   0/64 (   0%) |   0.121m/s |    3.47° | PASS
위(+z13cm)         5kg |   0/64 (   0%) |   0.121m/s |    3.75° | PASS
앞(+x7cm)          1kg |   0/64 (   0%) |   0.142m/s |    2.91° | PASS
앞(+x7cm)          2kg |   0/64 (   0%) |   0.144m/s |    2.82° | PASS
앞(+x7cm)          3kg |   0/64 (   0%) |   0.150m/s |    2.68° | PASS
앞(+x7cm)          5kg |   2/64 (   3%) |   0.167m/s |    2.47° | PASS
뒤(-x7cm)          1kg |   0/64 (   0%) |   0.118m/s |    3.42° | PASS
뒤(-x7cm)          2kg |   0/64 (   0%) |   0.099m/s |    3.82° | PASS
뒤(-x7cm)          3kg |   0/64 (   0%) |   0.083m/s |    4.23° | PASS
뒤(-x7cm)          5kg |   1/64 (   2%) |   0.078m/s |    5.00° | PASS
