페이로드 강건성 그리드 평가 — checkpoint: /home/ryu/humanoid_leg_test1/logs/rsl_rl/biped12_flat/2026-07-19_05-32-42/model_8997.pt
조건: 64 env × 15s, cmd_x=0.4 m/s. 로봇 자중 9.94kg
판정: 낙상env비율 <10% = PASS, 10~30% = 한계, >30% = FAIL
==========================================================================
부착위치              질량 |    낙상env |      추종오차 |     평균기울기 | 판정
기준(0kg)           0kg |   0/64 (   0%) |   0.121m/s |    3.17° | PASS
위(+z13cm)         1kg |   0/64 (   0%) |   0.124m/s |    3.32° | PASS
위(+z13cm)         2kg |   0/64 (   0%) |   0.132m/s |    3.47° | PASS
위(+z13cm)         3kg |   0/64 (   0%) |   0.127m/s |    3.66° | PASS
위(+z13cm)         5kg |   1/64 (   2%) |   0.129m/s |    3.94° | PASS
앞(+x7cm)          1kg |   0/64 (   0%) |   0.134m/s |    3.05° | PASS
앞(+x7cm)          2kg |   1/64 (   2%) |   0.148m/s |    2.99° | PASS
앞(+x7cm)          3kg |   0/64 (   0%) |   0.159m/s |    2.81° | PASS
앞(+x7cm)          5kg |  15/64 (  23%) |   0.249m/s |    3.74° | 한계
뒤(-x7cm)          1kg |   0/64 (   0%) |   0.112m/s |    3.59° | PASS
뒤(-x7cm)          2kg |   0/64 (   0%) |   0.095m/s |    4.04° | PASS
뒤(-x7cm)          3kg |   0/64 (   0%) |   0.085m/s |    4.45° | PASS
뒤(-x7cm)          5kg |   5/64 (   8%) |   0.086m/s |    5.36° | PASS
